,Country,farms_number,used_agricultural_area_ha,standard_output_EUR,subsistence_semisubsistence_farms,total_labour_persons,total_labour_AWU,nonfamily_labour_persons,nonfamily_labour_AWU,managers_basic_training,managers_only_practical,managers_full_training,managers_training_NA,farms_SO_zero,farms_SO_less2000,farms_SO_2000-3999,farms_SO_4000-7999,farms_SO_8000-14999,farms_SO_15000-24999,farms_SO_25000-49999,farms_SO_50000-99999,farms_SO_100000-249999,farms_SO_250000-499999,farms_SO_500000_orover,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,farms_number_normalized,used_agricultural_area_ha_normalized
10,Croatia,134460,1562980,2034939130.0,70130.0,318060,160460,,,11400,119760,3280,10.0,310.0,29660,31910,30820,18670,9130,8100,3610,1480,560,210,Zagreb,45.8,16.0,HR,38.739086448775744,55.816198516421224
11,Italy,1145710,12598160,51689024310.0,289880.0,2045410,897090,231730.0,111180.0,1048150,27450,69480,620.0,11240.0,164780,214850,188500,152830,108430,117560,89890,65800,18790,13040,Rome,41.9,12.483333,IT,334.421033549119,452.72171676190806
12,Cyprus,34940,111930,616692170.0,19560.0,72910,18740,4540.0,3950.0,9400,25340,200,,190.0,17950,5940,4300,2490,1200,1140,760,580,230,180,Nicosia,35.166666666666664,33.366667,CY,9.640181751197346,3.6258624956119903
13,Latvia,69930,1930880,1221341010.0,27160.0,162630,76860,21380.0,13820.0,10820,37220,21890,,1590.0,32580,10520,9050,5800,3390,3190,1790,1240,460,320,Riga,56.95,24.1,LV,19.87099641526757,69.0485644735252
14,Lithuania,150320,2924600,2226207560.0,67430.0,255570,148350,33760.0,28560.0,33370,92230,24720,,10640.0,46300,30890,26330,16390,6250,6130,3940,2490,590,390,Vilnius,54.68333333333333,25.316667,LT,43.37643199242118,104.78997980076998
15,Luxembourg,1970,130650,365008400.0,,4780,3500,1170.0,1010.0,220,700,1040,,,20,50,90,140,110,210,260,510,450,120,Luxembourg,49.6,6.116667,LU,0.0,4.299170162687245
16,Hungary,430000,4670560,6532474660.0,257100.0,814420,394410,111460.0,96560.0,72660,338510,18820,,10420.0,253770,54420,39360,26150,15190,13550,8310,5430,1680,1720,Budapest,47.5,19.083333,HU,125.15277509751289,167.58742928830802
17,Malta,9210,11120,98016860.0,2630.0,15420,5340,,,2740,6420,160,,100.0,5090,1060,1610,450,330,360,160,100,40,20,Valletta,35.88333333333333,14.5,MT,2.116921925346339,0.0
18,Netherlands,55680,1796260,23087034100.0,0.0,172660,147200,54340.0,40330.0,38370,12060,5250,,100.0,50,390,1780,3150,3420,5060,5390,9840,13580,12920,Amsterdam,52.35,4.916667,NL,15.704402846733682,64.20664790612825
19,Austria,132500,2669750,6141561460.0,0.0,318840,101730,26420.0,15250.0,30060,68940,31050,2450.0,30.0,14640,11080,16060,18200,15310,20600,19840,13990,2240,510,Vienna,48.2,16.366667,AT,38.16599708777038,95.6237159677503
20,Poland,1410700,14405650,25005635420.0,259000.0,3088250,1649400,122480.0,109640.0,244120,779320,387210,50.0,24210.0,367130,269780,252790,184700,110260,109160,58940,24480,5800,3450,Warsaw,52.25,21.0,PL,411.90213037198174,517.7322335974771
21,Portugal,258980,3641690,5144206850.0,108380.0,603720,313830,76250.0,56780.0,119030,132960,6350,630.0,1230.0,88220,57380,41820,25860,14430,12390,8210,6340,2040,1060,Lisbon,38.71666666666667,-9.133333,PT,75.14780442448378,130.58176372080175
22,Romania,3422030,12502540,12105491800.0,2956380.0,6061200,1640120,80960.0,59080.0,96550,3308810,13870,2800.0,47400.0,2285810,562570,340280,114160,35630,19490,7730,5180,2180,1610,Bucharest,44.43333333333333,26.1,RO,1000.0,449.2825245009179
23,Slovenia,69900,488400,1158773470.0,40150.0,196040,82390,2870.0,2320.0,24750,35030,10120,,30.0,9980,13250,17860,13330,5840,5170,2900,1300,180,70,Ljubljana,46.05,14.516667,SI,19.862224639333814,17.166468127226373
24,Slovakia,25660,1889820,1931433530.0,15800.0,79180,47190,38880.0,32010.0,3530,19750,2380,,660.0,6200,5710,4950,2640,1340,1200,800,820,450,880,Bratislava,48.15,17.116667,SK,6.926779062355631,67.57174754990822
25,Finland,49710,2233080,3514583720.0,0.0,111860,81630,20680.0,12150.0,17080,26950,5690,,,10,4300,7320,8250,6250,7900,6580,6330,1850,930,Helsinki,60.16666666666666,24.933333,FI,13.958819435916329,79.91787948368236
26,Sweden,62940,3012640,5158678850.0,0.0,129280,55940,22150.0,14190.0,6620,42670,13650,,2060.0,2280,7850,12550,9380,6350,6650,5460,5270,2870,2220,Stockholm,59.333333333333336,18.05,SE,17.827172622702527,107.95654000425853
27,United Kingdom,185060,16673270,25403447340.0,,426610,284940,99540.0,61440.0,26210,125740,31870,110.0,2840.0,13300,14820,19550,20890,17430,23120,21840,25000,14570,11700,London,51.5,-0.083333,GB,53.53414852371011,599.2923795383526
